Time,Temperature,Humidity,Soil Moisture,AQI,TVOC,CO2
0:5:0,24,57,57,1,32,418
0:10:0,24,56,58,1,34,422
0:15:0,24,55,58,1,36,428
0:20:0,24,55,59,1,41,438
0:25:0,24,54,59,1,37,430
0:30:0,24,53,59,1,40,436
0:35:0,24,53,59,1,37,430
0:40:0,24,53,59,1,37,429
0:45:0,24,53,59,1,40,437
0:50:0,24,52,59,1,42,441
0:55:0,24,53,59,1,44,444
1:0:0,24,53,59,1,41,438
1:5:0,24,53,59,1,49,456
1:10:0,24,53,59,1,35,426
1:15:0,24,53,59,1,41,438
1:20:0,24,53,59,1,37,429
1:25:0,24,53,59,1,29,413
1:30:0,24,53,59,1,32,418
1:35:0,24,53,59,1,37,431
1:40:0,24,53,59,1,37,429
1:45:0,24,53,59,1,34,423
1:50:0,24,53,60,1,23,400
1:55:0,24,53,60,1,36,428
2:0:0,24,53,60,1,33,421
2:5:0,24,53,60,1,34,424
2:10:0,24,53,60,1,32,418
2:15:0,24,53,60,1,28,409
2:20:0,24,53,60,1,30,415
2:25:0,24,53,60,1,27,408
2:30:0,24,53,60,1,27,407
2:35:0,24,53,60,1,31,417
2:40:0,24,53,60,1,29,411
2:45:0,24,53,60,1,33,420
2:50:0,24,54,60,1,31,415
2:55:0,24,54,60,1,29,411
3:0:0,24,54,60,1,28,409
3:5:0,24,53,60,1,29,412
3:10:0,24,54,60,1,25,402
3:15:0,24,54,60,1,24,401
3:20:0,24,54,60,1,24,402
3:25:0,24,54,61,1,29,413
3:30:0,24,54,61,1,26,406
3:35:0,24,54,60,1,27,407
3:40:0,24,54,60,1,25,402
3:45:0,24,54,60,1,30,413
3:50:0,24,54,60,1,31,417
3:55:0,24,54,60,1,22,400
4:0:0,24,54,60,1,27,407
4:5:0,24,55,60,1,32,418
4:10:0,24,55,61,1,18,400
4:15:0,24,54,60,1,18,400
4:20:0,24,54,60,1,22,400
4:25:0,24,54,60,1,25,403
4:30:0,24,54,60,1,18,400
4:35:0,24,55,60,1,28,409
4:40:0,24,55,60,1,23,400
4:45:0,24,55,60,1,21,400
4:50:0,24,55,60,1,26,404
4:55:0,24,55,60,1,26,404
5:0:0,24,55,61,1,23,400
5:5:0,24,55,60,1,25,402
